time,open,close,high,low
2020-04-23 00:00:00,1.08066,1.07748,1.08470,1.07562
2020-04-24 00:00:00,1.07747,1.08245,1.08301,1.07273
2020-04-26 00:00:00,1.08242,1.08212,1.08246,1.08149
2020-04-27 00:00:00,1.08212,1.08248,1.08604,1.08116
2020-04-28 00:00:00,1.08246,1.08328,1.08886,1.08099
2020-04-29 00:00:00,1.08326,1.08776,1.08858,1.08311
2020-04-30 00:00:00,1.08775,1.09452,1.09727,1.08332
2020-05-01 00:00:00,1.09451,1.09829,1.10190,1.09348
2020-05-03 00:00:00,1.09755,1.09612,1.09759,1.09532
2020-05-04 00:00:00,1.09611,1.09036,1.09611,1.08959
2020-05-05 00:00:00,1.09036,1.08388,1.09262,1.08262
2020-05-06 00:00:00,1.08388,1.07983,1.08442,1.07821
2020-05-07 00:00:00,1.07984,1.08366,1.08412,1.07667
2020-05-08 00:00:00,1.08362,1.08419,1.08758,1.08153
2020-05-10 00:00:00,1.08287,1.08382,1.08410,1.08254
2020-05-11 00:00:00,1.08381,1.08096,1.08507,1.08010
2020-05-12 00:00:00,1.08095,1.08459,1.08853,1.07846
2020-05-13 00:00:00,1.08459,1.08214,1.08967,1.08118
2020-05-14 00:00:00,1.08213,1.08064,1.08242,1.07751
2020-05-15 00:00:00,1.08064,1.08198,1.08510,1.07892
2020-05-17 00:00:00,1.08155,1.08189,1.08236,1.08116
2020-05-18 00:00:00,1.08188,1.09143,1.09272,1.08001
2020-05-19 00:00:00,1.09140,1.09263,1.09763,1.09024
2020-05-20 00:00:00,1.09264,1.09799,1.09992,1.09264
2020-05-21 00:00:00,1.09797,1.09494,1.10086,1.09374
2020-05-22 00:00:00,1.09494,1.09063,1.09539,1.08855
2020-05-24 00:00:00,1.08973,1.09083,1.09086,1.08963
2020-05-25 00:00:00,1.09083,1.09019,1.09147,1.08707
2020-05-26 00:00:00,1.09019,1.09787,1.09960,1.08970
2020-05-27 00:00:00,1.09788,1.10169,1.10311,1.09342
2020-05-28 00:00:00,1.10168,1.10782,1.10937,1.09919
2020-05-29 00:00:00,1.10780,1.11071,1.11452,1.10702
2020-05-31 00:00:00,1.11213,1.11158,1.11217,1.11028
2020-06-01 00:00:00,1.11158,1.11255,1.11541,1.11007
2020-06-02 00:00:00,1.11255,1.11855,1.11962,1.11153
2020-06-03 00:00:00,1.11855,1.12354,1.12580,1.11800
2020-06-04 00:00:00,1.12354,1.13358,1.13625,1.11948
2020-06-05 00:00:00,1.13359,1.12920,1.13840,1.12787
2020-06-07 00:00:00,1.12961,1.13163,1.13200,1.12939
2020-06-08 00:00:00,1.13161,1.13044,1.13189,1.12684
2020-06-09 00:00:00,1.13043,1.13324,1.13640,1.12411
2020-06-10 00:00:00,1.13322,1.13671,1.14227,1.13221
2020-06-11 00:00:00,1.13672,1.12883,1.14040,1.12874
2020-06-12 00:00:00,1.12883,1.12564,1.13407,1.12127
2020-06-14 00:00:00,1.12353,1.12520,1.12585,1.12270
2020-06-15 00:00:00,1.12521,1.13379,1.13383,1.12271
2020-06-16 00:00:00,1.13379,1.12653,1.13536,1.12281
2020-06-17 00:00:00,1.12653,1.12422,1.12942,1.12071
2020-06-18 00:00:00,1.12421,1.12081,1.12616,1.11858
2020-06-19 00:00:00,1.12081,1.11788,1.12547,1.11683
2020-06-21 00:00:00,1.11900,1.11769,1.11900,1.11687
2020-06-22 00:00:00,1.11770,1.12779,1.12813,1.11742
2020-06-23 00:00:00,1.12779,1.13127,1.13487,1.12333
2020-06-24 00:00:00,1.13128,1.12503,1.13261,1.12485
2020-06-25 00:00:00,1.12503,1.12182,1.12599,1.11906
2020-06-26 00:00:00,1.12183,1.12204,1.12395,1.11954
2020-06-28 00:00:00,1.12221,1.12222,1.12318,1.12175
2020-06-29 00:00:00,1.12223,1.12469,1.12881,1.12197
2020-06-30 00:00:00,1.12469,1.12338,1.12621,1.11912
2020-07-01 00:00:00,1.12338,1.12515,1.12753,1.11850
2020-07-02 00:00:00,1.12514,1.12376,1.13030,1.12236
2020-07-03 00:00:00,1.12377,1.12510,1.12533,1.12195
2020-07-05 00:00:00,1.12459,1.12471,1.12498,1.12435
2020-07-06 00:00:00,1.12471,1.13128,1.13457,1.12471
2020-07-07 00:00:00,1.13127,1.12747,1.13328,1.12589
2020-07-08 00:00:00,1.12747,1.13376,1.13519,1.12626
2020-07-09 00:00:00,1.13375,1.12883,1.13709,1.12805
2020-07-10 00:00:00,1.12883,1.13003,1.13250,1.12550
2020-07-12 00:00:00,1.13064,1.13090,1.13177,1.13043
2020-07-13 00:00:00,1.13090,1.13452,1.13751,1.13011
2020-07-14 00:00:00,1.13451,1.14105,1.14126,1.13253
2020-07-15 00:00:00,1.14105,1.14173,1.14522,1.13912
2020-07-16 00:00:00,1.14171,1.13882,1.14419,1.13707
2020-07-17 00:00:00,1.13882,1.14285,1.14439,1.13778
2020-07-19 00:00:00,1.14166,1.14425,1.14460,1.14166
2020-07-20 00:00:00,1.14425,1.14560,1.14680,1.14027
2020-07-21 00:00:00,1.14560,1.15353,1.15425,1.14232
2020-07-22 00:00:00,1.15354,1.15650,1.16015,1.15070
2020-07-23 00:00:00,1.15650,1.15955,1.16270,1.15405
2020-07-24 00:00:00,1.15956,1.16565,1.16583,1.15815
